MONTH,ORIGIN_AIRPORT,AIRLINE,ARRIVAL_DELAY,COUNT
January,DFW,Atlantic Southeast Airlines,15.00227273,1370
January,DFW,Frontier Airlines Inc.,8.448529412,137
January,DFW,American Eagle Airlines Inc.,13.75740655,6709
January,DFW,Spirit Air Lines,4.640449438,719
January,DFW,Skywest Airlines Inc.,14.05291005,385
January,DFW,United Air Lines Inc.,-1.808510638,291
January,DFW,US Airways Inc.,1.150980392,525
January,DHN,Atlantic Southeast Airlines,17.31034483,116
January,DIK,Atlantic Southeast Airlines,21.69811321,54
January,DIK,Skywest Airlines Inc.,-12.98113208,55
January,DLH,Delta Air Lines Inc.,-9.740740741,27
January,DLH,Skywest Airlines Inc.,11.7295082,124
January,DRO,Atlantic Southeast Airlines,11.35294118,17
January,DRO,American Eagle Airlines Inc.,20.15384615,66
January,DRO,Skywest Airlines Inc.,6.75,105
January,DSM,American Airlines Inc.,9.232142857,58
January,DSM,Delta Air Lines Inc.,-5.493506494,77
January,DSM,Atlantic Southeast Airlines,13.15492958,72
January,DSM,Frontier Airlines Inc.,2.076923077,13
January,DSM,American Eagle Airlines Inc.,20.03149606,286
January,DSM,Skywest Airlines Inc.,14.28,160
January,DSM,United Air Lines Inc.,20.65060241,83
January,DSM,US Airways Inc.,14,1
January,DSM,Southwest Airlines Co.,-3.438202247,90
January,DTW,American Airlines Inc.,2.762711864,237
January,DTW,Alaska Airlines Inc.,22.4516129,31
January,DTW,JetBlue Airways,-13.52380952,92
January,DTW,Delta Air Lines Inc.,-3.111111111,3892
January,DTW,Atlantic Southeast Airlines,6.614005836,2463
January,DTW,Frontier Airlines Inc.,48.56521739,23
January,DTW,American Eagle Airlines Inc.,29.91620112,407
January,DTW,Spirit Air Lines,15.54927536,695
January,DTW,Skywest Airlines Inc.,17.41853933,749
January,DTW,United Air Lines Inc.,5.979166667,48
January,DTW,US Airways Inc.,4.909090909,289
January,DTW,Southwest Airlines Co.,-2.704460967,547
January,DVL,Skywest Airlines Inc.,28.87179487,49
January,EAU,Skywest Airlines Inc.,24.4,62
January,ECP,Delta Air Lines Inc.,5.978873239,143
January,ECP,Atlantic Southeast Airlines,6.681818182,22
January,ECP,Southwest Airlines Co.,-2.323529412,68
January,EGE,American Airlines Inc.,15.95360825,200
January,EGE,Delta Air Lines Inc.,1.53125,32
January,EGE,United Air Lines Inc.,12.36923077,67
January,EKO,Skywest Airlines Inc.,-4.950819672,61
January,ELM,Atlantic Southeast Airlines,6.708860759,162
January,ELP,American Airlines Inc.,10.49565217,115
January,ELP,Delta Air Lines Inc.,1.517857143,57
January,ELP,Atlantic Southeast Airlines,4.670103093,197
January,ELP,American Eagle Airlines Inc.,40.29166667,28
January,ELP,Skywest Airlines Inc.,2.883211679,138
January,ELP,Southwest Airlines Co.,7.728782288,552
January,ERI,Atlantic Southeast Airlines,17.28571429,127
January,ESC,Skywest Airlines Inc.,12.5625,53
January,EUG,Skywest Airlines Inc.,4.868589744,330
January,EVV,Delta Air Lines Inc.,-9.185185185,27
January,EVV,Atlantic Southeast Airlines,4.128787879,133
January,EVV,American Eagle Airlines Inc.,22.91851852,147
January,EVV,Skywest Airlines Inc.,,1
January,EWN,Atlantic Southeast Airlines,-0.690909091,57
January,EWR,American Airlines Inc.,13.39403974,326
January,EWR,Alaska Airlines Inc.,-2.473684211,59
January,EWR,JetBlue Airways,6.715017065,619
January,EWR,Delta Air Lines Inc.,-2.919480519,408
January,EWR,Atlantic Southeast Airlines,8.851572327,2682
January,EWR,United Air Lines Inc.,5.760058737,3632
January,EWR,US Airways Inc.,-0.178571429,324
January,EWR,Virgin America,-14.02898551,144
January,EWR,Southwest Airlines Co.,3.124444444,503
January,EYW,Delta Air Lines Inc.,2.650943396,107
January,EYW,Atlantic Southeast Airlines,-3.5,32
January,EYW,American Eagle Airlines Inc.,-3.5,106
January,FAI,Alaska Airlines Inc.,0.214285714,155
January,FAR,Delta Air Lines Inc.,-10.73333333,60
January,FAR,Atlantic Southeast Airlines,11.61403509,117
January,FAR,Frontier Airlines Inc.,19.35714286,14
January,FAR,American Eagle Airlines Inc.,16.1826087,125
January,FAR,Skywest Airlines Inc.,7.925465839,165
January,FAT,American Airlines Inc.,61.68,50
January,FAT,Frontier Airlines Inc.,19.5,2
January,FAT,Skywest Airlines Inc.,14.12579618,644
January,FAY,Delta Air Lines Inc.,2.433333333,30
January,FAY,Atlantic Southeast Airlines,8.16,126
January,FCA,Skywest Airlines Inc.,0.37704918,129
January,FLG,Skywest Airlines Inc.,9.417266187,142
January,FLL,American Airlines Inc.,0.296774194,314
January,FLL,Alaska Airlines Inc.,-2.833333333,31
January,FLL,JetBlue Airways,8.909033877,1662
January,FLL,Delta Air Lines Inc.,-4.592555332,1011
January,FLL,Frontier Airlines Inc.,16.66990291,105
January,FLL,Spirit Air Lines,11.30475303,1090
January,FLL,United Air Lines Inc.,-5.834307992,528
January,FLL,US Airways Inc.,0.543925234,547
January,FLL,Virgin America,-5.198757764,164
January,FLL,Southwest Airlines Co.,-2.510799766,1735
January,FNT,Delta Air Lines Inc.,-8.545454545,88
January,FNT,Atlantic Southeast Airlines,18.70967742,62
January,FNT,American Eagle Airlines Inc.,14.12658228,89
January,FNT,Skywest Airlines Inc.,-6.8125,16
January,FNT,Southwest Airlines Co.,-13.00757576,132
January,FSD,Delta Air Lines Inc.,-5.3,30
January,FSD,Atlantic Southeast Airlines,11.13385827,263
January,FSD,Frontier Airlines Inc.,5.56,26
January,FSD,American Eagle Airlines Inc.,28.12345679,92
January,FSD,Skywest Airlines Inc.,14.6031746,197
January,FSM,Atlantic Southeast Airlines,12.62025316,79
January,FSM,American Eagle Airlines Inc.,10.05172414,120
January,FWA,Atlantic Southeast Airlines,8.810810811,37
January,FWA,American Eagle Airlines Inc.,15.01265823,177
January,FWA,Skywest Airlines Inc.,8.880952381,89
January,GCC,Skywest Airlines Inc.,-1.626086957,121
January,GCK,American Eagle Airlines Inc.,13.6,62
January,GEG,Alaska Airlines Inc.,5.924137931,145
January,GEG,Delta Air Lines Inc.,7.770642202,109
January,GEG,Frontier Airlines Inc.,33.4,6
